date,topic,slides,required_reading,optional_reading,disc_leaders,table_class,,
Wednesday 5/2,<i>Student selection: </i> Autonomous Cars ,"[<a href=""https://docs.google.com/presentation/d/1dp0A4ANME9eW0PIbTLcEWdH9t1s52NSIguCDffqjTEA/edit#slide=id.p"">gdoc</a>]","Read <a href=""https://www.curbed.com/2016/9/21/12991696/driverless-cars-safety-pros-cons"">Driverless cars safety</a> and <a href=""https://www.washingtonpost.com/local/trafficandcommuting/how-safe-is-safe-enough-to-put-driverless-cars-on-the-nations-roadways/2017/12/10/9a1aa348-d519-11e7-b62d-d9345ced896d_story.html?noredirect=on&utm_term=.53691d51a30d"">How safe is safe enough to put driverless cars on the nations roadways</a>","Read <a href=""https://www.nytimes.com/2018/03/19/technology/uber-driverless-fatality.html"">Uber fatality</a> and <a href=""https://www.theatlantic.com/technology/archive/2013/10/the-ethics-of-autonomous-cars/280360/"">ethics of autnomous vehicles</a>","Asrar Ali, Kirtanpal Ghoman,Chetan Malhotra",,,
Friday 5/4,<i>Student selection: </i> 3D printed guns,"[<a href=""https://docs.google.com/presentation/d/1De8tFXc2KwhzHTlWQPvVVi1DoYwIXJbTkTlPEhmrE6M/edit#slide=id.g39afaddddc_0_54"">gdoc</a>]","Read <a href=""https://www.forbes.com/sites/andygreenberg/2013/05/05/meet-the-liberator-test-firing-the-worlds-first-fully-3d-printed-gun/"">Forbes article on 3d printed guns</a> and Read <a href=""https://www.smh.com.au/technology/3d-printing-lets-the-disabled-take-control-20160614-gpih8g.html "">another article</a>","Watch <a href=""https://www.youtube.com/watch?v=DconsfGsXyA"">this video</a> and Watch <a href=""https://www.youtube.com/watch?v=lsJLZ1UYxGc"">this video</a>","Julius Ramos, Garrett Boseck",,,
Friday 5/4 Discussion,No discussion,,,,,table-danger,,
Monday 5/7,BlackMirror1,"[<a href=""https://docs.google.com/presentation/d/1oNa-nc5rYbwivUynnDRXj4muYrh4OLIsJO2bZidDbXo/edit#slide=id.g37ad84cbca_0_0"">gdoc</a>]","S1E3 ""The Entire History of You""<br>
<br>
<b>Final Paper: Milestone 2 due</b>",,"Bishal Thapa, Sahana Melkris, Hammad Zahid",,,
Wednesday 5/9,BlackMirror2,"[<a href=""https://docs.google.com/presentation/d/1ES0rZtT6iWGNlzAzg5x-n6TsSDlPVIcYzHlv1YN_x7g/edit#slide=id.g33311f73a8_0_64"">gdoc</a>]","S4E2 ""Arkangel""","Read <a href=""https://www.nytimes.com/2016/11/10/style/family-digital-surveillance-tracking-smartphones.html"">Should you spy on your kids?</a> and <a href=""http://www.bbc.com/news/technology-30709141"">Ethics of tracking children</a>","Priyanka Shah, Imani Rodney, Sunil Ramakrishnan",,,
Friday 5/11,BlackMirror3,,"S4E1 ""USS Callister""",https://pdfs.semanticscholar.org/ec2e/5cc752693539c640347450882509e1d32653.pdf,"Sarmad Farooq, Karishma Tangella",,,
Friday 5/11 Discussion,No discussion,,,,,table-danger,,
Monday 5/14,Privacy,"[<a href=""https://docs.google.com/presentation/d/1pgZNtrSYF8MCFZ06NYWq5hXttHwMsiVqCtlEF2AKOME/edit#slide=id.p"">gdoc</a>]","Read <a href=""http://plato.stanford.edu/entries/it-privacy/"">Privacy and Information Technology</a>, an article from the Stanford encyclopedia of phylosophy, 2014.","Read <a href=""https://research.ijcaonline.org/volume91/number8/pxc3895081.pdf"">Survey of Various Homomorphic Encryption algorithms
and Schemes
</a> and <a href=""https://software.intel.com/en-us/articles/intel-enhanced-privacy-id-epid-security-technology"">Intel® Enhanced Privacy ID (EPID) Security Technology</a>","Soo Hyung Kim, Gwen Hoang, Bryan Smiley",,,
Wednesday 5/16,Big data,"[<a href=""https://docs.google.com/presentation/d/1Haggzh0JdobGt6vwUl5oO5YS2WLl789wy42D3_-UtL4/edit?usp=sharing"">gdoc</a>]","(a) Watch <a href=""https://www.youtube.com/watch?v=GAXLHM-1Psk"">Haunted by Data</a> by Maciej Ceglowski (2015) (20 mins). (b) Watch <a href=""https://www.ted.com/talks/cathy_o_neil_the_era_of_blind_faith_in_big_data_must_end#t-6134"">The era of blind faith in big data must end</a> by Cathy O’Neil (2017) (13 mins). (c) Watch <a href=""http://autonomousweapons.org/slaughterbots/"">Slaughterbots</a> by Stuart Russell (2017) (8 mins) (fiction). (d) Read <a href=""https://thenewinquiry.com/the-anxieties-of-big-data/"">The Anxieties of Big Data</a> by Kate Crawford (2014).<br>
<br>
<b>Required reading report due</b >",,"Otto Chen, Joel Moens",,,
Friday 5/18,Bad company,,"(a) Read <a href=""https://www.theatlantic.com/magazine/archive/2016/01/what-was-volkswagen-thinking/419127/"">What was Volkswagen Thinking?</a> by Justin Renteria (2016). (b) Spend half an hour more to read something you find online about the Volkswagen emissions scandal.",,"Abishek Gollapudi, Alex Kong, Andy Yao",,,
Friday 5/18 Discussion,Guest speaker,,None,,None,,,
Monday 5/21,No class,,"Start reading the paper for 5/23, it's long",,,table-danger,,
Wednesday 5/23,Surveillance,,"Read <a href=""/assets/ecs188/moral-fn.pdf"">The Moral Character of Cryptographic Work</a> (endnotes instead of footnotes) by Phillip Rogaway (2015)",,"Kyle Wong, Parushi Sharma, Va Vong",,,
Friday 5/25,Anonymous,"[<a href=""https://docs.google.com/presentation/d/1b_FX91Fd-zTCIRVGVNUpaRdi0rRyoZFf0yyUMlmIE4A/edit#slide=id.p"">gdoc</a>]","In class: Watch ""We are Legion""",,None,,,
Friday 5/25 Discussion,Anonymous,,"In cass: Watch ""We are Legion""",,None,,,
Monday 5/28,no class,,Memorial Day,,,table-danger,,
Wednesday 5/30,Bad company,,"Was Facebook unethical for publishing research without the consent of the users? Possible reading/links to support your arguments:
<ul>
<li>James Grimmelmann (Law professor, University of Maryland <a href=""http://laboratorium.net/archive/2014/06/28/as_flies_to_wanton_boys"">Blog post</a> about this subject.</li>
<li><a href=""http://www.universityworldnews.com/article.php?story=20150109205518594"">Big data scientists face ethical challenges after Facebook study</a>, University World News, Jan. 2015.</li>
</ul><br>
<br>
<b>Final paper due</b>",,"Spencer Grossarth, Chance Stewart",,,
Friday 6/1,Presentations,,<ul><li>TeamGO</li><li>The Web Pirates</li><li>Group3</li></ul>,,None,table-info,,
Friday 6/1 Discussion,Presentations,,<ul><li>AAL</li><li>Group1</li><li>The NP-Completes</li><li>Predictive Policing</li></ul>,,None,table-info,,
Monday 6/4,Presentations,,<ul><li>ProstEthics</li><li>Under</li><li>Group2</li><li>The Limitation Gamers</li></ul>,,None,table-info,,
Monday 6/6,Presentations,,<ul><li>Rebel Scum</li><li>SQUAD</li><li>The Blockers</li><li>Error404</li></ul>,,None,table-info,,
